"","X","stationid","Year","Month","Aqstime","Sate_AOD","AERONET_AOD"
"1961",1961,70,2012,4,"2012-04-23 11:05:00",0.301000014297,0.0830309312197
"1962",1962,70,2012,6,"2012-06-11 10:10:00",0.334500015888,0.103817809919
"1963",1963,70,2012,6,"2012-06-14 10:40:00",0.268000012729,0.230838303471
"1964",1964,70,2012,6,"2012-06-25 10:25:00",0.4295000204,0.219408273155
"1965",1965,70,2012,10,"2012-10-11 10:45:00",0.9390000446,0.311099549825
"1966",1966,70,2013,1,"2013-01-12 10:15:00",0.589000027976,0.418716508455
"1967",1967,70,2013,1,"2013-01-16 09:55:00",0.569000027026,0.38156961881
"1968",1968,70,2013,1,"2013-01-26 10:30:00",0.787500037404,0.45645547948
"1969",1969,70,2013,1,"2013-01-28 10:15:00",0.440000020899,0.332523439715
"1970",1970,70,2013,1,"2013-01-29 11:00:00",0.467000022181,0.429434258471
"1971",1971,70,2013,2,"2013-02-01 09:55:00",0.422000020044,0.213687470261
"1972",1972,70,2013,2,"2013-02-05 11:05:00",0.0880000041798,0.127913162094
"1973",1973,70,2013,2,"2013-02-13 10:15:00",0.44150002097,0.137646180067
"1974",1974,70,2013,3,"2013-03-05 09:55:00",0.478000022704,0.238872336577
"1975",1975,70,2013,3,"2013-03-13 10:40:00",0.57350002724,0.375954744477
"1976",1976,70,2013,3,"2013-03-26 10:10:00",1.02300004859,0.528997931848
"1977",1977,70,2013,3,"2013-03-28 10:00:00",0.343000016292,0.062066637661
"1978",1978,70,2013,3,"2013-03-29 10:40:00",0.224500010663,0.109423001998
"1979",1979,70,2013,5,"2013-05-02 10:30:00",0.620000029448,0.0969019455557
"1980",1980,70,2014,2,"2014-02-21 10:35:00",0.375000017812,0.182548489327
"1981",1981,70,2014,2,"2014-02-28 10:40:00",0.0970000046073,0.127856509142
"1982",1982,70,2014,3,"2014-03-11 10:25:00",0.530000025174,0.382895256075
"1983",1983,70,2014,4,"2014-04-08 10:50:00",0.596000028308,0.245074364579
"1984",1984,70,2014,4,"2014-04-09 09:55:00",0.106000005035,0.139028359442
"1985",1985,70,2014,4,"2014-04-24 10:50:00",0.226000010734,0.136637993595
"1986",1986,70,2014,5,"2014-05-12 10:35:00",0.253000012017,0.0954742740243
"1987",1987,70,2014,5,"2014-05-26 10:50:00",0.249000011827,0.0958903064956
"1988",1988,70,2014,6,"2014-06-24 10:20:00",0.627000029781,0.184737873767
"1989",1989,70,2014,8,"2014-08-09 10:30:00",0.472000022419,0.109312457007
"1990",1990,70,2014,8,"2014-08-15 09:55:00",0.630000029923,0.193577116485
"1991",1991,70,2015,2,"2015-02-01 10:30:00",0.914000043413,0.665023847839
"1992",1992,70,2015,2,"2015-02-06 10:50:00",0.292000013869,0.274913298472
"1993",1993,70,2015,2,"2015-02-08 10:35:00",0.426000020234,0.290583900742
"1994",1994,70,2015,2,"2015-02-12 10:10:00",0.431000020471,0.375998996943
"1995",1995,70,2015,3,"2015-03-16 10:10:00",0.285000013537,0.261543879446
"1996",1996,70,2015,3,"2015-03-18 10:00:00",0.824000039138,0.534342612412
"1997",1997,70,2015,3,"2015-03-19 10:40:00",0.766500036407,0.67616242182
"1998",1998,70,2015,5,"2015-05-04 10:55:00",0.143500006816,0.128865361291
"1999",1999,70,2015,5,"2015-05-06 10:40:00",0.194000009215,0.112379437444
"2000",2000,70,2015,5,"2015-05-19 10:10:00",0.431000020471,0.117160065168
"2001",2001,70,2015,6,"2015-06-06 10:00:00",0.485000023036,0.446885064287
"2002",2002,70,2015,6,"2015-06-30 10:50:00",0.203000009642,0.0972874689503
"2003",2003,70,2015,7,"2015-07-22 10:10:00",0.149000007077,0.0975972610903
"2004",2004,70,2015,7,"2015-07-24 10:00:00",0.176500008383,0.0832976714859
"2005",2005,70,2015,8,"2015-08-30 10:20:00",0.505000023986,0.187029507348
"2006",2006,70,2015,9,"2015-09-03 09:55:00",0.964000045788,0.417734314941
"2007",2007,71,2012,4,"2012-04-02 10:45:00",2.32300011034,2.26739945789
"2008",2008,71,2012,4,"2012-04-24 10:10:00",0.762000036193,0.812565795743
"2009",2009,71,2012,4,"2012-04-25 10:50:00",0.564500026812,0.379488220292
"2010",2010,71,2012,5,"2012-05-01 10:15:00",0.386000018334,0.307213244994
"2011",2011,71,2012,5,"2012-05-03 10:00:00",0.598000028403,0.504224318746
"2012",2012,71,2012,5,"2012-05-04 10:45:00",0.848000040278,0.589482410289
"2013",2013,71,2012,5,"2012-05-16 11:10:00",0.33750001603,0.261912623934
"2014",2014,71,2012,6,"2012-06-18 10:15:00",2.29100010882,2.26366955831
"2015",2015,71,2012,8,"2012-08-03 10:25:00",0.751500035694,0.59057138995
"2016",2016,71,2012,8,"2012-08-04 11:10:00",0.487000023131,0.459550782218
"2017",2017,71,2012,9,"2012-09-29 10:20:00",1.10800005263,0.86314244132
"2018",2018,71,2012,9,"2012-09-30 11:05:00",0.701000033296,0.525162569141
"2019",2019,71,2012,10,"2012-10-18 10:50:00",1.07900005125,0.877841696544
"2020",2020,71,2012,11,"2012-11-01 11:05:00",0.727000034531,0.414024473044
"2021",2021,71,2012,11,"2012-11-02 10:05:00",0.775000036811,0.555287116689
"2022",2022,71,2012,11,"2012-11-17 11:05:00",0.363000017242,0.259605488423
"2023",2023,71,2012,12,"2012-12-06 09:55:00",0.607000028831,0.403311733052
"2024",2024,71,2012,12,"2012-12-17 11:15:00",0.491000023321,0.339617321774
"2025",2025,71,2013,3,"2013-03-28 09:55:00",1.52400007239,1.31582451013
"2026",2026,71,2013,5,"2013-05-16 10:40:00",0.356000016909,0.138475828435
"2027",2027,71,2013,5,"2013-05-22 10:00:00",0.802000038093,0.500292012419
"2028",2028,71,2013,5,"2013-05-27 10:20:00",0.729000034626,0.311829633861
"2029",2029,71,2014,1,"2014-01-15 10:15:00",0.938000044553,0.729193093752
"2030",2030,71,2014,1,"2014-01-18 10:45:00",1.47000006982,1.1982756228
"2031",2031,71,2014,5,"2014-05-09 10:00:00",0.376000017859,0.285873360951
"2032",2032,71,2014,6,"2014-06-02 10:50:00",0.223000010592,0.199743422617
"2033",2033,71,2014,9,"2014-09-26 10:25:00",1.20800005738,0.989705798797
"2034",2034,71,2014,10,"2014-10-03 10:35:00",0.948000045028,1.21180609639
"2035",2035,71,2014,10,"2014-10-06 11:05:00",0.906000043033,0.651405751058
"2036",2036,71,2014,10,"2014-10-07 10:10:00",0.865000041085,0.655527077431
"2037",2037,71,2014,10,"2014-10-09 09:55:00",1.61000007647,1.25328157069
"2038",2038,71,2014,10,"2014-10-12 10:25:00",1.03650004923,0.910947906214
"2039",2039,71,2014,10,"2014-10-13 11:10:00",1.39700006635,1.15926907598
"2040",2040,71,2014,10,"2014-10-14 10:15:00",1.46400006954,1.35153081634
"2041",2041,71,2014,10,"2014-10-15 09:15:00",0.697000033106,1.0035959415
"2042",2042,71,2014,10,"2014-10-15 10:55:00",0.0860000040848,0.974038118084
"2043",2043,71,2014,10,"2014-10-16 10:00:00",1.41600006726,1.49982851871
"2044",2044,71,2014,11,"2014-11-14 11:10:00",0.561000026646,0.42098500049
"2045",2045,71,2014,11,"2014-11-20 10:30:00",0.86700004118,0.637436435622
"2046",2046,71,2014,11,"2014-11-20 10:35:00",0.872500041442,0.637436435622
"2047",2047,71,2014,12,"2014-12-08 10:20:00",0.629000029876,0.403421883901
"2048",2048,71,2014,12,"2014-12-15 10:25:00",1.14400005434,0.949141426934
"2049",2049,71,2014,12,"2014-12-17 10:15:00",0.474000022514,0.303337304655
"2050",2050,71,2014,12,"2014-12-22 10:35:00",0.813000038615,0.555716057496
"2051",2051,71,2014,12,"2014-12-23 11:15:00",0.994000047212,0.799203417803
"2052",2052,71,2014,12,"2014-12-29 10:40:00",0.758500036027,0.569526954964
"2053",2053,71,2015,1,"2015-01-13 09:55:00",0.451000021421,0.30621181211
"2054",2054,71,2015,1,"2015-01-14 10:40:00",0.673000031966,0.460051600739
"2055",2055,71,2015,1,"2015-01-17 11:10:00",1.05500005011,0.659819663457
"2056",2056,71,2015,4,"2015-04-02 10:50:00",1.19850005693,0.922119449168
"2057",2057,71,2015,4,"2015-04-03 09:55:00",1.16200005519,1.11198118792
"2058",2058,71,2015,4,"2015-04-04 10:40:00",0.940000044648,0.844105497191
"2059",2059,71,2015,4,"2015-04-15 10:20:00",0.551000026171,0.481987235968
"2060",2060,71,2015,4,"2015-04-20 10:40:00",0.871500041394,0.765962407953
"2061",2061,71,2015,5,"2015-05-02 11:05:00",0.652500030992,0.61613080704
"2062",2062,71,2015,5,"2015-05-19 10:10:00",0.500000023749,0.301030937592
"2063",2063,71,2015,5,"2015-05-26 10:15:00",0.691000032821,0.46712640229
"2064",2064,71,2015,7,"2015-07-09 10:40:00",0.936000044458,0.477517181968
"2065",2065,71,2015,7,"2015-07-12 11:10:00",0.612500029092,0.397367220355
"2066",2066,71,2015,7,"2015-07-13 10:15:00",1.537000073,1.02148163419
"2067",2067,71,2015,8,"2015-08-10 10:40:00",0.820000038948,0.756115991926
"2068",2068,71,2015,8,"2015-08-21 10:20:00",0.368000017479,0.280268129056
"2069",2069,71,2015,9,"2015-09-14 11:10:00",0.979500046524,0.74890871494
"2070",2070,71,2016,2,"2016-02-06 10:15:00",0.673000031966,0.563279551476
"2071",2071,71,2016,2,"2016-02-08 10:00:00",0.764000036288,0.77620636605
"2072",2072,71,2016,2,"2016-02-09 10:45:00",0.51750002458,0.38418416736
"2073",2073,71,2016,2,"2016-02-12 11:15:00",1.14600005443,0.812564676275
"2074",2074,71,2016,2,"2016-02-13 10:20:00",0.544000025839,0.520328346444
"2075",2075,71,2016,2,"2016-02-14 11:05:00",1.04500004963,0.702338899144
"2076",2076,71,2016,2,"2016-02-29 10:20:00",0.739000035101,0.449646998622
"2077",2077,71,2016,5,"2016-05-17 10:35:00",1.20700005733,0.698005808751
"2078",2078,71,2016,7,"2016-07-16 11:00:00",0.145500006911,0.134639996476
"2079",2079,71,2016,8,"2016-08-08 11:05:00",0.122000005795,0.204740683305
"2080",2080,71,2016,11,"2016-11-27 10:20:00",0.322000015294,0.175009691649
"2081",2081,71,2016,11,"2016-11-28 11:05:00",0.326000015484,0.261784605305
"2082",2082,71,2016,12,"2016-12-01 09:55:00",0.311000014772,0.19582934153
"2083",2083,71,2016,12,"2016-12-02 10:40:00",0.348000016529,0.213486738789
"2084",2084,71,2016,12,"2016-12-07 10:55:00",0.446000021184,0.314587851044
"2085",2085,71,2016,12,"2016-12-08 10:00:00",0.491500023345,0.400815506236
"2086",2086,71,2016,12,"2016-12-09 10:45:00",0.934500044386,0.882078127462
"2087",2087,72,2012,1,"2012-01-03 10:10:00",0.187000008882,0.170478183554
"2088",2088,72,2012,1,"2012-01-20 10:55:00",0.014000000665,0.0715656772183
"2089",2089,72,2012,1,"2012-01-21 10:00:00",0.216000010259,0.20892701753
"2090",2090,72,2012,1,"2012-01-22 10:40:00",0.123000005842,0.156827706146
"2091",2091,72,2012,1,"2012-01-24 10:30:00",0.269000012777,0.197422646612
"2092",2092,72,2012,2,"2012-02-06 10:00:00",0.235000011162,0.139474840384
"2093",2093,72,2012,2,"2012-02-07 10:40:00",0.472500022443,0.528412864398
"2094",2094,72,2012,2,"2012-02-08 09:45:00",0.317000015057,0.222463789855
"2095",2095,72,2012,2,"2012-02-12 11:00:00",0.212000010069,0.147448064057
"2096",2096,72,2012,2,"2012-02-13 10:05:00",0.103500004916,0.0727511507962
